family,NDCG@10,Coverage@10,Gini@10,Novelty@10,seeds
EASE,0.11593558574324843,0.3095168374816984,0.7448081798458173,2.342725519666128,1
RP3beta,0.11703923477822148,0.2281112737920937,0.8715907736725954,1.8519812390122241,1
Hybrid-Score,0.12252416601031475,0.2664714494875549,0.8040422662782911,2.097599185243931,1
Hybrid-Matrix,0.12449829304192372,0.20585651537335287,0.860070190084415,1.8168375861242152,1
Hybrid-GraphReg,0.11331096020326287,0.35226939970717425,0.740642881074411,2.4293983561250276,1
Laplacian-EASE,0.12126617371923075,0.17920937042459736,0.7810978131949999,1.983144642198871,1
