model,rp3_beta,rp3_topK,train_time_s,NDCG@10,MAP@10,HitRate@10,Recall@10,Coverage@10,Gini@10,Novelty@10,NDCG@20,MAP@20,HitRate@20,Recall@20,Coverage@20,Gini@20,Novelty@20,NDCG@k,MAP@k,HitRate@k,Recall@k,Coverage@k,Gini@k,Novelty@k,wilcoxon_vs_EASE_stat,wilcoxon_vs_EASE_p,wilcoxon_vs_EASE_n_pairs,wilcoxon_vs_EASE_sign,wilcoxon_vs_EASE_mean_diff,wilcoxon_vs_EASE_median_diff
RP3beta,0.3,200,3.2231955528259277,0.11198981065824969,0.054989503198428075,0.4722175591740809,0.06953204438414508,0.0746705710102489,0.8552831238253233,1.5123685783510241,0.11834687200298136,0.048178255301297435,0.6091992613731744,0.11406500219051108,0.1130307467057101,0.8502209704958072,1.665269683091664,0.11198981065824969,0.054989503198428075,0.4722175591740809,0.06953204438414508,0.0746705710102489,0.8552831238253233,1.5123685783510241,3144592.0,0.01587808401500139,5957,-1,-0.00394577508499871,0.0
RP3beta,0.3,500,4.199072360992432,0.1124400066841575,0.05510921292272964,0.47641430250125905,0.07055404614734538,0.0808199121522694,0.8599004216206485,1.5275714726089467,0.1191459807689016,0.04843326062268017,0.6117173073694813,0.11604026982671634,0.1171303074670571,0.8496528873594091,1.6796902534621967,0.1124400066841575,0.05510921292272964,0.47641430250125905,0.07055404614734538,0.0808199121522694,0.8599004216206485,1.5275714726089467,3116885.0,0.018688999298175916,5957,-1,-0.00349557905909092,0.0
RP3beta,0.6,200,3.4347870349884033,0.11566323633982326,0.05652562698647436,0.4940406244754071,0.0778456793168932,0.23894582723279648,0.8734298419720414,1.86707540475272,0.12579708940792658,0.0513356741411115,0.6412623803928151,0.1315236038122843,0.31947291361639824,0.8660506160326826,2.0240821401453397,0.11566323633982326,0.05652562698647436,0.4940406244754071,0.0778456793168932,0.23894582723279648,0.8734298419720414,1.86707540475272,2923815.5,0.35272762653545486,5957,-1,-0.0002723494034251593,0.0
RP3beta,0.6,500,4.0626220703125,0.11703923477822148,0.05743183432513513,0.4948799731408427,0.0786987473559101,0.2281112737920937,0.8715907736725954,1.8519812390122241,0.12802540183637837,0.05232007748864015,0.648984388114823,0.1340762247249271,0.30307467057101023,0.8674661320786083,1.9903377810834262,0.11703923477822148,0.05743183432513513,0.4948799731408427,0.0786987473559101,0.2281112737920937,0.8715907736725954,1.8519812390122241,2978803.0,0.8217709569841852,5957,1,0.001103649034973058,0.0
