dataset,seed,method,config,train_time_s,NDCG@10,MAP@10,HitRate@10,Recall@10,Coverage@10,Gini@10,Novelty@10,NDCG@20,MAP@20,HitRate@20,Recall@20,Coverage@20,Gini@20,Novelty@20,NDCG@k,MAP@k,HitRate@k,Recall@k,Coverage@k,Gini@k,Novelty@k,wilcoxon_vs_EASE_stat,wilcoxon_vs_EASE_p,wilcoxon_vs_EASE_n_pairs,wilcoxon_vs_EASE_sign,wilcoxon_vs_EASE_mean_diff,wilcoxon_vs_EASE_median_diff
ml-1m,3,PPR,alpha=0.5,131.6032998561859,0.36057165721003764,0.22931382132405903,0.8707799767171129,0.21916356942341716,0.2807377049180328,0.7785997214585636,2.2844632770571325,0.3600545918560322,0.20196258010290205,0.924496923332779,0.32310156464207307,0.36855971896955503,0.7740289737604531,2.443212904428802,0.36057165721003764,0.22931382132405903,0.8707799767171129,0.21916356942341716,0.2807377049180328,0.7785997214585636,2.2844632770571325,2465177.5,1.542977780631397e-05,6013,1,0.0035093973434437323,0.0
ml-1m,3,PPR,alpha=0.7,130.3642179965973,0.35679246818934746,0.22644081502025698,0.8666223183103277,0.21639283515075883,0.25585480093676816,0.7989164970938252,2.185072103608152,0.3562735576977445,0.199005264784622,0.9234990853151505,0.3199648011370621,0.3395784543325527,0.7953060466689987,2.338492338562741,0.35679246818934746,0.22644081502025698,0.8666223183103277,0.21639283515075883,0.25585480093676816,0.7989164970938252,2.185072103608152,4034214.5,0.11551187819626896,6013,-1,-0.00026979167724649144,0.0
ml-1m,3,DPP-MAP,top_pool=100,125.77297639846802,0.20562878183466782,0.11408370029985003,0.6841842674205887,0.1529466820569554,0.4112997658079625,0.8045456433954192,3.7731277319014613,0.18441500881292133,0.09606356136360997,0.7111258938965574,0.16324660147593542,0.4680913348946136,0.8587918900335494,4.481746350256524,0.20562878183466782,0.11408370029985003,0.6841842674205887,0.1529466820569554,0.4112997658079625,0.8045456433954192,3.7731277319014613,10486.5,0.0,6013,-1,-0.1514334780319261,-0.06625422345438903
ml-1m,3,DPP-MAP,top_pool=200,128.25559830665588,0.20562878183466782,0.11408370029985003,0.6841842674205887,0.1529466820569554,0.4112997658079625,0.8045456433954192,3.7731277319014613,0.18441500881292133,0.09606356136360997,0.7111258938965574,0.16324660147593542,0.4680913348946136,0.8587918900335494,4.481746350256524,0.20562878183466782,0.11408370029985003,0.6841842674205887,0.1529466820569554,0.4112997658079625,0.8045456433954192,3.7731277319014613,10486.5,0.0,6013,-1,-0.1514334780319261,-0.06625422345438903
ml-1m,3,GF-CF,"k=256,alpha=0.3",18.12473464012146,0.31232599942631906,0.18834254630734779,0.8376850157991019,0.19260558246964787,0.23155737704918034,0.8391773576130774,2.11613984152326,0.3078206389684993,0.16346248692873824,0.9002161982371528,0.273789232806906,0.2898126463700234,0.8445631770893705,2.1969402655180863,0.31232599942631906,0.18834254630734779,0.8376850157991019,0.19260558246964787,0.23155737704918034,0.8391773576130774,2.11613984152326,,,0,0,,
ml-1m,3,Cascade,top_n=200,122.55116081237793,0.35589529739216635,0.22414560347578985,0.8721104274072842,0.21855261727023678,0.3015222482435597,0.7620203152070191,2.36159015456112,0.35490708805564436,0.1970871101679966,0.9249958423415933,0.3204552086537123,0.38378220140515223,0.7635756014523831,2.495182922146086,0.35589529739216635,0.22414560347578985,0.8721104274072842,0.21855261727023678,0.3015222482435597,0.7620203152070191,2.36159015456112,153799.5,0.001427762306165277,6013,-1,-0.001166962474427606,0.0
ml-1m,3,Cascade,top_n=500,122.59889006614685,0.35691954939916953,0.22500206940140657,0.8727756527523699,0.21888519372210652,0.3088407494145199,0.7585092331543899,2.384218214552857,0.3577553813168296,0.19915054438276722,0.9251621486778646,0.3233315386792241,0.3981264637002342,0.7520902994492324,2.546162678123122,0.35691954939916953,0.22500206940140657,0.8727756527523699,0.21888519372210652,0.3088407494145199,0.7585092331543899,2.384218214552857,1085.5,0.1450378392572343,6013,-1,-0.00014271046742439657,0.0
ml-1m,4,EASE,-,125.18059921264648,0.3602199710712781,0.22636381640845926,0.8736263736263736,0.22263170160415102,0.31059718969555034,0.7588552195526748,2.3826147347901783,0.36241559929929296,0.20251274440390268,0.9302364302364302,0.32716994336340544,0.3984192037470726,0.7506592966181505,2.5499964162059165,0.3602199710712781,0.22636381640845926,0.8736263736263736,0.22263170160415102,0.31059718969555034,0.7588552195526748,2.3826147347901783,,,0,0,,
ml-1m,4,PPR,alpha=0.3,131.3282332420349,0.36326195869775524,0.22951225115482485,0.8749583749583749,0.22365089648966985,0.29449648711943793,0.7673232665280378,2.333438210636626,0.3641670774717098,0.2042818998722569,0.9310689310689311,0.32807156572390384,0.38466042154566743,0.7613955679024171,2.500601068962367,0.36326195869775524,0.22951225115482485,0.8749583749583749,0.22365089648966985,0.29449648711943793,0.7673232665280378,2.333438210636626,1191107.5,1.0012631588192575e-13,6006,1,0.0030419876264770134,0.0
ml-1m,4,PPR,alpha=0.5,131.0119400024414,0.3646009601042292,0.23121496121141813,0.875957375957376,0.22402388861741146,0.2822014051522248,0.7804169551057518,2.278903148285215,0.3643533402434946,0.204875408629175,0.9304029304029304,0.32729984926394723,0.36973067915690866,0.7739002090546034,2.443608356255418,0.3646009601042292,0.23121496121141813,0.875957375957376,0.22402388861741146,0.2822014051522248,0.7804169551057518,2.278903148285215,2473243.5,4.85524267840369e-10,6006,1,0.0043809890329510135,0.0
ml-1m,4,PPR,alpha=0.7,132.21457982063293,0.3621227834694701,0.22950715670174285,0.8731268731268731,0.22215187065077047,0.2611241217798595,0.8047255061829053,2.1784530789882286,0.36043828492813634,0.2019440327648979,0.9294039294039294,0.3237637174434897,0.3398711943793911,0.7953979698165745,2.3375121254758646,0.3621227834694701,0.22950715670174285,0.8731268731268731,0.22215187065077047,0.2611241217798595,0.8047255061829053,2.1784530789882286,4227770.5,0.46563012522339,6006,1,0.0019028123981919135,0.0
ml-1m,4,DPP-MAP,top_pool=100,125.63057017326355,0.2090541821553449,0.11642735434968994,0.6838161838161838,0.156372703709022,0.4098360655737705,0.8037056752771039,3.7632932812581243,0.18871136048313572,0.09865855446369434,0.7144522144522144,0.16848640450449023,0.4724824355971897,0.859948219892458,4.473267533177565,0.2090541821553449,0.11642735434968994,0.6838161838161838,0.156372703709022,0.4098360655737705,0.8037056752771039,3.7632932812581243,12297.5,0.0,6006,-1,-0.15116578891593327,-0.06625422345438903
ml-1m,4,DPP-MAP,top_pool=200,127.38991475105286,0.2090541821553449,0.11642735434968994,0.6838161838161838,0.156372703709022,0.4098360655737705,0.8037056752771039,3.7632932812581243,0.18871136048313572,0.09865855446369434,0.7144522144522144,0.16848640450449023,0.4724824355971897,0.859948219892458,4.473267533177565,0.2090541821553449,0.11642735434968994,0.6838161838161838,0.156372703709022,0.4098360655737705,0.8037056752771039,3.7632932812581243,12297.5,0.0,6006,-1,-0.15116578891593327,-0.06625422345438903
ml-1m,4,GF-CF,"k=256,alpha=0.3",19.173463106155396,0.3206998873406848,0.194956553403974,0.843989343989344,0.19679265532991638,0.2227751756440281,0.8402706360656427,2.0893026856969668,0.3148629676969389,0.1688493609317734,0.9047619047619048,0.27700173739491196,0.2892271662763466,0.8491495009713634,2.1764026046479286,0.3206998873406848,0.194956553403974,0.843989343989344,0.19679265532991638,0.2227751756440281,0.8402706360656427,2.0893026856969668,,,0,0,,
ml-1m,4,Cascade,top_n=200,122.0810055732727,0.35934136639466463,0.22552998929557885,0.8746253746253746,0.22236457477041227,0.2997658079625293,0.7610581150620213,2.357316765106188,0.36013200024381287,0.2007931665778842,0.9300699300699301,0.32552726541797883,0.375,0.7584195663820956,2.4937627790162864,0.35934136639466463,0.22552998929557885,0.8746253746253746,0.22236457477041227,0.2997658079625293,0.7610581150620213,2.357316765106188,172869.0,0.10426788358525484,6006,-1,-0.0008786046766135813,0.0
ml-1m,4,Cascade,top_n=500,122.62553381919861,0.3602824203041264,0.2264241066473209,0.8736263736263736,0.22264309599752802,0.3091334894613583,0.7586549813822541,2.3804118095473306,0.3622464825815,0.20236165819442434,0.9302364302364302,0.3271175294390781,0.39490632318501173,0.7502923935466561,2.5448294934524247,0.3602824203041264,0.2264241066473209,0.8736263736263736,0.22264309599752802,0.3091334894613583,0.7586549813822541,2.3804118095473306,966.0,0.3727506243005745,6006,1,6.244923284822086e-05,0.0
