method,config,train_time_s_mean,train_time_s_std,NDCG@10_mean,NDCG@10_std,MAP@10_mean,MAP@10_std,HitRate@10_mean,HitRate@10_std,Recall@10_mean,Recall@10_std,Coverage@10_mean,Coverage@10_std,Gini@10_mean,Gini@10_std,Novelty@10_mean,Novelty@10_std,NDCG@20_mean,NDCG@20_std,MAP@20_mean,MAP@20_std,HitRate@20_mean,HitRate@20_std,Recall@20_mean,Recall@20_std,Coverage@20_mean,Coverage@20_std,Gini@20_mean,Gini@20_std,Novelty@20_mean,Novelty@20_std,NDCG@k_mean,NDCG@k_std,MAP@k_mean,MAP@k_std,HitRate@k_mean,HitRate@k_std,Recall@k_mean,Recall@k_std,Coverage@k_mean,Coverage@k_std,Gini@k_mean,Gini@k_std,Novelty@k_mean,Novelty@k_std,wilcoxon_vs_EASE_stat_mean,wilcoxon_vs_EASE_stat_std,wilcoxon_vs_EASE_p_mean,wilcoxon_vs_EASE_p_std,wilcoxon_vs_EASE_n_pairs_mean,wilcoxon_vs_EASE_n_pairs_std,wilcoxon_vs_EASE_sign_mean,wilcoxon_vs_EASE_sign_std,wilcoxon_vs_EASE_mean_diff_mean,wilcoxon_vs_EASE_mean_diff_std,wilcoxon_vs_EASE_median_diff_mean,wilcoxon_vs_EASE_median_diff_std
Cascade,top_n=200,121.72140455245972,2.5517772182034633,0.3594792276355877,0.0025145636202125628,0.22581299005313538,0.001928847422663882,0.8780514179959489,0.0053949049181396145,0.22212361075514023,0.0023000674676175695,0.3,0.0016867517905021082,0.7609348448987264,0.0013299024504740647,2.360697576942467,0.0019345645273007657,0.3596535252174608,0.0028502472955319958,0.1997930196004298,0.0019367062203012504,0.9329845691325149,0.005444752938324799,0.325535861218504,0.0032698309644647013,0.3786299765807962,0.003957949363268278,0.7602977577369945,0.002359128443674508,2.495864332079329,0.0017395198547079404,0.3594792276355877,0.0025145636202125628,0.22581299005313538,0.001928847422663882,0.8780514179959489,0.0053949049181396145,0.22212361075514023,0.0023000674676175695,0.3,0.0016867517905021082,0.7609348448987264,0.0013299024504740647,2.360697576942467,0.0019345645273007657,164225.4,12345.04773380808,0.1785943766617924,0.30990011175813603,6007.4,3.4351128074635104,-1.0,0.0,-0.0008911648943921468,0.0003321185781270655,0.0,0.0
Cascade,top_n=500,121.67825398445129,1.0853593252925489,0.36027909491923044,0.0025714028466472714,0.2265592383536755,0.0020442480343518614,0.8777515071616003,0.005244448331426787,0.22231196141858184,0.0022536012733839436,0.30872365339578456,0.002454481711505215,0.7584040785379731,0.002030095169329842,2.383369293303859,0.0017395820047985018,0.3620094870578421,0.0027398664407478047,0.2016201867468305,0.0019631835756530125,0.933350864025388,0.005647312367491863,0.3276367286781306,0.0029616908216616154,0.39730679156908666,0.002223668502907837,0.751483827938362,0.0016625806463818399,2.5469134811246845,0.002158499587346949,0.36027909491923044,0.0025714028466472714,0.2265592383536755,0.0020442480343518614,0.8777515071616003,0.005244448331426787,0.22231196141858184,0.0022536012733839436,0.30872365339578456,0.002454481711505215,0.7584040785379731,0.002030095169329842,2.383369293303859,0.0017395820047985018,992.0,106.09370857878426,0.2795775327710982,0.17948709126785098,6007.4,3.4351128074635104,-0.6,0.8944271909999159,-9.129761074941551e-05,9.053031908195234e-05,0.0,0.0
DPP-MAP,top_pool=100,125.06226749420166,1.8057664282333714,0.20789318168509116,0.0018827126760147038,0.11548963672300609,0.0013825350605619685,0.6855878000243543,0.002165895000467274,0.1558402764319114,0.0019484515427733947,0.40942622950819674,0.003276858388514214,0.803607910167534,0.0014648339577824192,3.776244568437792,0.00816255801017482,0.1875872050676606,0.0022085726391738933,0.09786524335304263,0.0015341759320778167,0.7161844959462639,0.0036220009697257357,0.16750762653519763,0.0026998138969210137,0.4686768149882904,0.003438916898264267,0.8588847336089824,0.0007357168126581857,4.4822061079658555,0.005934580456617309,0.20789318168509116,0.0018827126760147038,0.11548963672300609,0.0013825350605619685,0.6855878000243543,0.002165895000467274,0.1558402764319114,0.0019484515427733947,0.40942622950819674,0.003276858388514214,0.803607910167534,0.0014648339577824192,3.776244568437792,0.00816255801017482,11203.6,1417.8483875224458,0.0,0.0,6007.4,3.4351128074635104,-1.0,0.0,-0.1524772108448887,0.0011325592619309303,-0.06659205894716938,0.0007554231270689832
DPP-MAP,top_pool=200,126.77925229072571,2.2256002441417553,0.20789318168509116,0.0018827126760147038,0.11548963672300609,0.0013825350605619685,0.6855878000243543,0.002165895000467274,0.1558402764319114,0.0019484515427733947,0.40942622950819674,0.003276858388514214,0.803607910167534,0.0014648339577824192,3.776244568437792,0.00816255801017482,0.1875872050676606,0.0022085726391738933,0.09786524335304263,0.0015341759320778167,0.7161844959462639,0.0036220009697257357,0.16750762653519763,0.0026998138969210137,0.4686768149882904,0.003438916898264267,0.8588847336089824,0.0007357168126581857,4.4822061079658555,0.005934580456617309,0.20789318168509116,0.0018827126760147038,0.11548963672300609,0.0013825350605619685,0.6855878000243543,0.002165895000467274,0.1558402764319114,0.0019484515427733947,0.40942622950819674,0.003276858388514214,0.803607910167534,0.0014648339577824192,3.776244568437792,0.00816255801017482,11203.6,1417.8483875224458,0.0,0.0,6007.4,3.4351128074635104,-1.0,0.0,-0.1524772108448887,0.0011325592619309303,-0.06659205894716938,0.0007554231270689832
EASE,-,125.00835294723511,2.60260033864963,0.3603703925299798,0.0025525765180416013,0.22665307731728462,0.0020495652277835842,0.8776849569462767,0.005220623753779892,0.22233609029995124,0.0022356066082815547,0.3100702576112412,0.0018790171587682928,0.7587277347955784,0.0016148456014131228,2.385208158669514,0.0016143006190546159,0.36221140741312974,0.0027321023063977146,0.20180867291377852,0.0019402606325770399,0.9332843525834955,0.005798369801854602,0.3277578853329016,0.0030004655386439115,0.3997072599531616,0.0022447645799392024,0.7512481236122811,0.001710510656808872,2.5519102378522995,0.002321282090163353,0.3603703925299798,0.0025525765180416013,0.22665307731728462,0.0020495652277835842,0.8776849569462767,0.005220623753779892,0.22233609029995124,0.0022356066082815547,0.3100702576112412,0.0018790171587682928,0.7587277347955784,0.0016148456014131228,2.385208158669514,0.0016143006190546159,,,,,0.0,0.0,0.0,0.0,,,,
GF-CF,"k=256,alpha=0.3",18.195315456390382,2.6512553781353256,0.31880558307846646,0.004005075435842577,0.19305027999632646,0.0030904950954278123,0.8459250309450764,0.005417455881008657,0.19625333264419098,0.002651297737929222,0.2298009367681499,0.0043172954343538164,0.8421758701762533,0.0025299639574552016,2.1009262622338434,0.010385162278245288,0.314052533058604,0.0041214259190524875,0.167471832199913,0.0028931600228292017,0.907848918850181,0.0056746204654197835,0.27859161126393683,0.004010004811259679,0.2902224824355972,0.0018926498682956205,0.8477028228085839,0.002097645671887446,2.1848174211344444,0.007504527421858403,0.31880558307846646,0.004005075435842577,0.19305027999632646,0.0030904950954278123,0.8459250309450764,0.005417455881008657,0.19625333264419098,0.002651297737929222,0.2298009367681499,0.0043172954343538164,0.8421758701762533,0.0025299639574552016,2.1009262622338434,0.010385162278245288,,,,,0.0,0.0,0.0,0.0,,,,
PPR,alpha=0.3,130.3587291240692,1.921329282566308,0.36298531463793865,0.0026854100789896803,0.22943502979164815,0.0019697606928870673,0.8784841799380947,0.00507915439620001,0.22302152015589344,0.0027260978798459724,0.2950234192037471,0.0016867517905021035,0.7673941340027414,0.0013930242585527876,2.3372774477065397,0.0023084091817953045,0.3640714167291826,0.002802642932141933,0.20377134979431913,0.0019226425206419937,0.9333844576855348,0.005915511244648695,0.3283747669043665,0.002977973943015302,0.3840749414519906,0.0011891156915450965,0.7612842700478618,0.0009817953012755565,2.5014586927138778,0.0020435168436543274,0.36298531463793865,0.0026854100789896803,0.22943502979164815,0.0019697606928870673,0.8784841799380947,0.00507915439620001,0.22302152015589344,0.0027260978798459724,0.2950234192037471,0.0016867517905021035,0.7673941340027414,0.0013930242585527876,2.3372774477065397,0.0023084091817953045,1217857.9,46744.29886815075,4.44210677366425e-07,9.92989005343437e-07,6007.4,3.4351128074635104,1.0,0.0,0.0026149221079587556,0.0003738236214682171,0.0,0.0
PPR,alpha=0.5,130.54111714363097,2.5953638089852693,0.3641747011596961,0.002434352261655981,0.2308669180490875,0.001655193157774287,0.8778519833358983,0.005176290920224712,0.22314054665413238,0.0025690795391909806,0.2815573770491803,0.0006346452982634142,0.7794909493784117,0.0008888043222040133,2.2827990301182646,0.002429699727054428,0.3643772339628774,0.0026974332006837938,0.204366379477116,0.0018153013922316233,0.9330513963938716,0.005730877476259856,0.32776281662072926,0.0030349215417026353,0.3687353629976581,0.001948426380830633,0.7736514030871475,0.0011687792681388586,2.4443470288677145,0.0012476657373507356,0.3641747011596961,0.002434352261655981,0.2308669180490875,0.001655193157774287,0.8778519833358983,0.005176290920224712,0.22314054665413238,0.0025690795391909806,0.2815573770491803,0.0006346452982634142,0.7794909493784117,0.0008888043222040133,2.2827990301182646,0.002429699727054428,2517310.9,58897.169659712876,3.549993034863823e-06,6.695183808055478e-06,6007.4,3.4351128074635104,1.0,0.0,0.003804308629716216,0.0004708789518020939,0.0,0.0
PPR,alpha=0.7,130.15086092948914,2.146181752948924,0.36169745575145645,0.002946096789079727,0.22886012928075963,0.0016456881865980911,0.8753887832046796,0.006010010445630415,0.22131593132407432,0.0030196968629554203,0.25831381733021075,0.002946367128825799,0.8014737088627146,0.002657909421172889,2.183598736767865,0.0032640913850599117,0.3605029719824501,0.0027934028181057606,0.20141734991244623,0.0018528238353331052,0.9312202046887925,0.005254442802338023,0.32393524818532465,0.00283974985283662,0.33899297423887587,0.0018858458323660818,0.7948799228283993,0.0006555406618085549,2.338753720959603,0.0015829066814556957,0.36169745575145645,0.002946096789079727,0.22886012928075963,0.0016456881865980911,0.8753887832046796,0.006010010445630415,0.22131593132407432,0.0030196968629554203,0.25831381733021075,0.002946367128825799,0.8014737088627146,0.002657909421172889,2.183598736767865,0.0032640913850599117,4175785.0,96277.4004576101,0.36972663901109376,0.3095784774253389,6007.4,3.4351128074635104,0.6,0.8944271909999159,0.0013270632214766316,0.001237047915947916,0.0,0.0
