method,fusion,NDCG@10_mean,NDCG@10_std,MAP@10_mean,MAP@10_std,HitRate@10_mean,HitRate@10_std,Recall@10_mean,Recall@10_std,Coverage@10_mean,Coverage@10_std,Gini@10_mean,Gini@10_std,Novelty@10_mean,Novelty@10_std,NDCG@20_mean,NDCG@20_std,MAP@20_mean,MAP@20_std,HitRate@20_mean,HitRate@20_std,Recall@20_mean,Recall@20_std,Coverage@20_mean,Coverage@20_std,Gini@20_mean,Gini@20_std,Novelty@20_mean,Novelty@20_std,NDCG@k_mean,NDCG@k_std,MAP@k_mean,MAP@k_std,HitRate@k_mean,HitRate@k_std,Recall@k_mean,Recall@k_std,Coverage@k_mean,Coverage@k_std,Gini@k_mean,Gini@k_std,Novelty@k_mean,Novelty@k_std,wilcoxon_vs_EASE_stat_mean,wilcoxon_vs_EASE_stat_std,wilcoxon_vs_EASE_p_mean,wilcoxon_vs_EASE_p_std,wilcoxon_vs_EASE_n_pairs_mean,wilcoxon_vs_EASE_n_pairs_std,wilcoxon_vs_EASE_sign_mean,wilcoxon_vs_EASE_sign_std,wilcoxon_vs_EASE_mean_diff_mean,wilcoxon_vs_EASE_mean_diff_std,wilcoxon_vs_EASE_median_diff_mean,wilcoxon_vs_EASE_median_diff_std
EASE,-,0.3603703925299798,0.0025525765180416013,0.22665307731728462,0.0020495652277835842,0.8776849569462767,0.005220623753779892,0.22233609029995124,0.0022356066082815547,0.3100702576112412,0.0018790171587682928,0.7587277347955784,0.0016148456014131228,2.385208158669514,0.0016143006190546159,0.36221140741312974,0.0027321023063977146,0.20180867291377852,0.0019402606325770399,0.9332843525834955,0.005798369801854602,0.3277578853329016,0.0030004655386439115,0.3997072599531616,0.0022447645799392024,0.7512481236122811,0.001710510656808872,2.5519102378522995,0.002321282090163353,0.3603703925299798,0.0025525765180416013,0.22665307731728462,0.0020495652277835842,0.8776849569462767,0.005220623753779892,0.22233609029995124,0.0022356066082815547,0.3100702576112412,0.0018790171587682928,0.7587277347955784,0.0016148456014131228,2.385208158669514,0.0016143006190546159,,,,,0.0,0.0,0.0,0.0,,,,
EDLAE,-,0.36805404175811857,0.003359446757067075,0.23512370053889659,0.0020390184537130416,0.8776196032300003,0.006778206049371194,0.22409203274712586,0.003526076447656026,0.26850117096018733,0.0015407139773935092,0.7770037555108322,0.001608989256253717,2.273071808390962,0.0025608355980530394,0.36768499450616565,0.003315488736000709,0.20780664445761232,0.0022077778894767594,0.9325179697822497,0.004604692638874926,0.3289672746402248,0.003758810630845771,0.35234192037470724,0.0023106074075727296,0.7679142900964818,0.001274641642199425,2.438796515897537,0.0022261083475126247,0.36805404175811857,0.003359446757067075,0.23512370053889659,0.0020390184537130416,0.8776196032300003,0.006778206049371194,0.22409203274712586,0.003526076447656026,0.26850117096018733,0.0015407139773935092,0.7770037555108322,0.001608989256253717,2.273071808390962,0.0025608355980530394,,,,,0.0,0.0,0.0,0.0,,,,
Fusion,combmnz-z,0.3638817509482199,0.003173934012702044,0.23146918738379751,0.0018231424170515023,0.8753885729024725,0.0057625044668932505,0.22151683949713896,0.0032400015685734784,0.2610070257611241,0.0026718042644273024,0.81820157189354,0.0012515451482105612,2.153700615393005,0.003137869289028,0.36211072368465125,0.002636201947759485,0.20337468488200114,0.0016843496266822312,0.9313861674750313,0.005354689439272485,0.3232194444470375,0.0029983888027836562,0.3456674473067916,0.0014400906178277412,0.8089631986095644,0.0002987295727833329,2.316092569000099,0.0029370612477719747,0.3638817509482199,0.003173934012702044,0.23146918738379751,0.0018231424170515023,0.8753885729024725,0.0057625044668932505,0.22151683949713896,0.0032400015685734784,0.2610070257611241,0.0026718042644273024,0.81820157189354,0.0012515451482105612,2.153700615393005,0.003137869289028,5268229.5,90963.7112561927,0.22250450281312614,0.38434675341180413,6007.4,3.4351128074635104,1.0,0.0,0.0035113584182400333,0.0018735281991237565,0.0,0.0
Fusion,inv_var_p=0.5,0.36844064063922044,0.0033539320202714486,0.23557462251249822,0.0020462965576457702,0.8776196641738929,0.00681142783341791,0.224144985720655,0.003531672978510268,0.26756440281030447,0.0015764533978731036,0.7784331984828379,0.001500962496083646,2.2678958693328726,0.002737652848398728,0.36794544604862345,0.0033651932377754467,0.20811624886582622,0.0022209971887807477,0.932584531082804,0.004519240921270983,0.32899250149977555,0.0038244578342673547,0.35146370023419204,0.0025148397652124755,0.7688924894064998,0.001421752810035728,2.4347859264438876,0.0022514999515811044,0.36844064063922044,0.0033539320202714486,0.23557462251249822,0.0020462965576457702,0.8776196641738929,0.00681142783341791,0.224144985720655,0.003531672978510268,0.26756440281030447,0.0015764533978731036,0.7784331984828379,0.001500962496083646,2.2678958693328726,0.002737652848398728,4487395.2,150823.3906215312,1.3476502920199749e-09,2.877377398471073e-09,6007.4,3.4351128074635104,1.0,0.0,0.008070248109240586,0.002117637814595796,0.0,0.0
Fusion,linear-uniform,0.36470890262783207,0.0033072365633142146,0.23185050208796776,0.0019677934805772267,0.8768866702113994,0.005569122947010935,0.2227287706478835,0.003199525150915402,0.265807962529274,0.0032729332223357674,0.8141506545862068,0.0017591735228913315,2.1717577432296875,0.0028645206203048836,0.3632519469044091,0.002917109380300652,0.2038636657979957,0.0018427056940753344,0.9325847804775631,0.005122898790514751,0.32542723094626924,0.003251238929397175,0.3528103044496487,0.0007289168382897484,0.8051744609923016,0.0007019048945844167,2.337590268923527,0.0024241054746070487,0.36470890262783207,0.0033072365633142146,0.23185050208796776,0.0019677934805772267,0.8768866702113994,0.005569122947010935,0.2227287706478835,0.003199525150915402,0.265807962529274,0.0032729332223357674,0.8141506545862068,0.0017591735228913315,2.1717577432296875,0.0028645206203048836,4888161.5,77286.22939680134,0.06850374183113486,0.14456004744697212,6007.4,3.4351128074635104,1.0,0.0,0.004338510097852199,0.0018816930054239187,0.0,0.0
Fusion,rrf_k=60,0.3632572532196623,0.003393264301874721,0.23124738378775506,0.0020145096655389376,0.8740904255131496,0.005414050530435604,0.2198947270055048,0.003411443904791817,0.2562060889929742,0.0026621645303020166,0.817642031483744,0.0012035935659938856,2.1480540864419715,0.0028511705980067714,0.36087926191032427,0.002979506125190568,0.20228878482381737,0.0019287782808291216,0.9305537938875224,0.0050516418070620985,0.32213995232521137,0.003164667054979826,0.3409836065573771,0.001635156913790284,0.8105695290484689,0.000410582544943835,2.3036501072463063,0.0021907664764792205,0.3632572532196623,0.003393264301874721,0.23124738378775506,0.0020145096655389376,0.8740904255131496,0.005414050530435604,0.2198947270055048,0.003411443904791817,0.2562060889929742,0.0026621645303020166,0.817642031483744,0.0012035935659938856,2.1480540864419715,0.0028511705980067714,5616805.1,130553.2937498131,0.278984131351418,0.4072368573559079,6007.4,3.4351128074635104,1.0,0.0,0.0028868606896823752,0.002275476038881265,0.0,0.0
RP3beta,-,0.3054871661533587,0.002162847374479927,0.18458020271565717,0.0009234882091362603,0.8237524022987159,0.006259309841747327,0.18228957729651457,0.001960798113221833,0.20989461358313818,0.0015628041937985001,0.889550477899118,0.0009234660918402846,1.8826971338358092,0.0034042617515411895,0.3035713263376957,0.0027462610958730775,0.16012406395490322,0.0012486950368186713,0.8987596426039606,0.006348756248441963,0.2678902276490952,0.003333392274592782,0.2961943793911007,0.002042897695827619,0.8849691117569268,0.0011245829258890224,2.02861548611511,0.002569861216361145,0.3054871661533587,0.002162847374479927,0.18458020271565717,0.0009234882091362603,0.8237524022987159,0.006259309841747327,0.18228957729651457,0.001960798113221833,0.20989461358313818,0.0015628041937985001,0.889550477899118,0.0009234660918402846,1.8826971338358092,0.0034042617515411895,,,,,0.0,0.0,0.0,0.0,,,,
